id;name;type_id;fraction_id;description;slug
1;Административное здание;1;1;Увеличивает доход золота;c-hall
2;Замок;2;1;Увеличивает защиту города;c-castle
3;Таверна;3;1;Позволяет нанимать героев;c-tavern
4;Кузня;4;1;Улучшает оружие для ваших воинов;c-blak
5;Рынок;5;1;Открывает доступ к торговле;c-market
6;Хранилице ресурсов;6;1;Увеличивает запасы хранилищ;c-sild
7;Гильдия магов;7;1;Открывает доступ к магии;c-mage
8;Пристань;8;1;Уменьшает время доставки ресурсов;c-shipyard
9;Маяк;9;1;Увеличивает радиус торговли;c-spec
10;Конюшня;10;1;Увеличивает скорость перемещений армии;c-ext1
11;Улучшение таверны;11;1;Сокращает время появления новых героев;c-ext3
12;Божество;12;1;Вдохновляет народ города. Уменьшает время строительства и найма существ;c-holy
13;Казармы копейщиков;13;1;Позволяет тренировать копейщиков;c-army-1
14;Башня лучников;14;1;Позволяет тренировать лучников;c-army-2
15;Гнездо грифонов;15;1;Позволяет тренировать грифонов;c-army-3
16;Казармы рыцарей;16;1;Позволяет тренировать рыцарей;c-army-4
17;Монастырь;17;1;Позволяет тренировать монахов;c-army-5
18;Ипподром;18;1;Позволяет нанимать верховых рыцарей;c-army-6
19;Небесный портал;19;1;Позволяет нанимать хранителей;c-army-7
